likes,comment_count,mediatype,media_id,follower_count
625977,5666,2,3229508169541433972_2278169415,46082571
2699396,18964,8,3228722089224462980_2278169415,46082571
1323071,4503,2,3228132418989080740_2278169415,46082571
1277938,7324,2,3227301016087955284_2278169415,46082571
1128553,7278,2,3226675054326949290_2278169415,46082571
1856253,15504,8,3223647982774574341_2278169415,46082571
492020,5460,2,3222209087411224652_2278169415,46082571
943323,8546,2,3220024099462727162_2278169415,46082571
535411,11190,2,3217883423539303737_2278169415,46082571
1416436,10519,8,3217065808575104626_2278169415,46082571
526887,34838,2,3215729006648032664_2278169415,46082571
4288921,44233,2,3214276050711001319_2278169415,46082571
3320488,18099,8,3213501309243010359_2278169415,46082571
987502,17120,2,3212102033241667729_2278169415,46082571
447001,8853,2,3208427663411530877_2278169415,46082571
979187,6335,2,3207029219987991230_2278169415,46082571
848496,6522,2,3201933493084524341_2278169415,46082571
1674943,12082,2,3201206224434364342_2278169415,46082571
399815,5396,2,3196831672099024523_2278169415,46082571
1494230,6344,2,3195412034630823103_2278169415,46082571
19450,253,1,3229725484299424441_46218147,4812415
19839,267,1,3229634887819469493_46218147,4812415
40207,561,1,3228940317268481017_46218147,4812415
14208,165,1,3228849716761645875_46218147,4812415
19256,95,2,3228298706347556774_46218147,4812415
42770,422,1,3228276434341680581_46218147,4812415
59018,492,1,3228246234270598749_46218147,4812415
124295,1566,2,3228242657251497508_46218147,4812415
18089,361,8,3228200364984943942_46218147,4812415
60766,363,1,3228155642538755596_46218147,4812415
81199,3020,1,3228125473019983241_46218147,4812415
46504,560,2,3228095313809012823_46218147,4812415
165569,872,2,3228046350016696219_46218147,4812415
19790,425,1,3228034856356695751_46218147,4812415
21452,86,2,3227997345639068165_46218147,4812415
33251,695,1,3227974450275233103_46218147,4812415
68167,1310,1,3227945114323260055_46218147,4812415
29949,312,1,3227914061114042652_46218147,4812415
43360,283,2,3227883476777715576_46218147,4812415
23176,122,1,3227581860602967169_46218147,4812415
294014,2539,2,3220736477444695936_1522837371,25533740
307315,2670,1,3217818828153652897_1522837371,25533740
184659,3759,2,3214979170646888640_1522837371,25533740
465553,4789,8,3213507759444616675_1522837371,25533740
164572,2609,8,3206255146613633270_1522837371,25533740
506737,15440,1,3204792351829315679_1522837371,25533740
230017,1209,8,3202628029778789071_1522837371,25533740
155152,3835,8,3192488891001266535_1522837371,25533740
126224,5411,8,3187409631482543631_1522837371,25533740
37893,2511,2,3186776548975678282_1522837371,25533740
159771,1540,8,3185968403340566619_1522837371,25533740
148699,1685,2,3184635148839122251_1522837371,25533740
406187,1329,8,3181611296465055013_1522837371,25533740
459412,1587,8,3175114422245490304_1522837371,25533740
366891,2770,8,3172135122743614265_1522837371,25533740
333520,1301,8,3169985505746514996_1522837371,25533740
518693,1871,8,3169278884456217091_1522837371,25533740
709502,9616,8,3163529107760690547_1522837371,25533740
977431,17712,8,3163186913170618685_1522837371,25533740
569674,4895,2,3163068699539663854_1522837371,25533740
242993,873,8,3226053595585573933_185923994,5602751
402334,2920,8,3225293154529622247_185923994,5602751
396383,1636,8,3223069929125884905_185923994,5602751
443324,1572,8,3221006987705500386_185923994,5602751
260975,623,8,3220125166201481718_185923994,5602751
345318,1229,8,3217944694545527816_185923994,5602751
453877,7443,8,3216481216693631528_185923994,5602751
164276,447,8,3215085152540059376_185923994,5602751
328768,1137,8,3213673026608251694_185923994,5602751
214910,2144,8,3210727390280532635_185923994,5602751
-1,228,2,3205703610125884705_185923994,5602751
472739,1472,8,3203573195474924862_185923994,5602751
56371,268,2,3203551045992867687_7229533,2745837
230033,805,8,3201395938198127159_185923994,5602751
-1,2315,8,3199965337055171958_185923994,5602751
161104,2940,8,3192626667239393718_185923994,5602751
201530,791,8,3191221684802601687_185923994,5602751
